VENDOR_DUNS_NUMBER,ATOM_FEED_LINK,LATEST_CONTRACT
134853402,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22134853402%22%20SIGNED_DATE%3A%5B2015/02/03%2C%5D %20MODIFICATION_NUMBER%3A%220%22,3-Feb-15
793100926,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22793100926%22%20SIGNED_DATE%3A%5B2015/03/31%2C%5D %20MODIFICATION_NUMBER%3A%220%22,31-Mar-15
626578041,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22626578041%22%20SIGNED_DATE%3A%5B2015/05/04%2C%5D %20MODIFICATION_NUMBER%3A%220%22,4-May-15
71595540,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22071595540%22%20SIGNED_DATE%3A%5B2015/04/28%2C%5D %20MODIFICATION_NUMBER%3A%220%22,28-Apr-15
178041406,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22178041406%22%20SIGNED_DATE%3A%5B2015/04/28%2C%5D %20MODIFICATION_NUMBER%3A%220%22,28-Apr-15
94888294,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22094888294%22%20SIGNED_DATE%3A%5B2015/04/24%2C%5D %20MODIFICATION_NUMBER%3A%220%22,24-Apr-15
623333234,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22623333234%22%20SIGNED_DATE%3A%5B2015/01/21%2C%5D %20MODIFICATION_NUMBER%3A%220%22,21-Jan-15
2320455,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22002320455%22%20SIGNED_DATE%3A%5B2015/03/16%2C%5D %20MODIFICATION_NUMBER%3A%220%22,16-Mar-15
145913666,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22145913666%22%20SIGNED_DATE%3A%5B2015/03/20%2C%5D %20MODIFICATION_NUMBER%3A%220%22,20-Mar-15
806605437,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22806605437%22%20SIGNED_DATE%3A%5B2015/03/27%2C%5D %20MODIFICATION_NUMBER%3A%220%22,27-Mar-15
966789836,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22966789836%22%20SIGNED_DATE%3A%5B2015/02/09%2C%5D %20MODIFICATION_NUMBER%3A%220%22,9-Feb-15
54007823,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22054007823%22%20SIGNED_DATE%3A%5B2015/04/30%2C%5D %20MODIFICATION_NUMBER%3A%220%22,30-Apr-15
962070905,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22962070905%22%20SIGNED_DATE%3A%5B2014/10/16%2C%5D %20MODIFICATION_NUMBER%3A%220%22,16-Oct-14
9126889,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22009126889%22%20SIGNED_DATE%3A%5B2015/01/16%2C%5D %20MODIFICATION_NUMBER%3A%220%22,16-Jan-15
8962912,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22008962912%22%20SIGNED_DATE%3A%5B2015/03/26%2C%5D %20MODIFICATION_NUMBER%3A%220%22,26-Mar-15
17979027,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22017979027%22%20SIGNED_DATE%3A%5B2015/05/01%2C%5D %20MODIFICATION_NUMBER%3A%220%22,1-May-15
209627116,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22209627116%22%20SIGNED_DATE%3A%5B2015/01/30%2C%5D %20MODIFICATION_NUMBER%3A%220%22,30-Jan-15
18057567,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22018057567%22%20SIGNED_DATE%3A%5B2015/03/17%2C%5D %20MODIFICATION_NUMBER%3A%220%22,17-Mar-15
180001054,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22180001054%22%20SIGNED_DATE%3A%5B2015/03/26%2C%5D %20MODIFICATION_NUMBER%3A%220%22,26-Mar-15
806627832,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22806627832%22%20SIGNED_DATE%3A%5B2015/04/28%2C%5D %20MODIFICATION_NUMBER%3A%220%22,28-Apr-15
114533024,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22114533024%22%20SIGNED_DATE%3A%5B2015/05/04%2C%5D %20MODIFICATION_NUMBER%3A%220%22,4-May-15
151308715,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22151308715%22%20SIGNED_DATE%3A%5B2015/02/26%2C%5D %20MODIFICATION_NUMBER%3A%220%22,26-Feb-15
49627490,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22049627490%22%20SIGNED_DATE%3A%5B2015/01/07%2C%5D %20MODIFICATION_NUMBER%3A%220%22,7-Jan-15
869159897,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22869159897%22%20SIGNED_DATE%3A%5B2015/04/24%2C%5D %20MODIFICATION_NUMBER%3A%220%22,24-Apr-15
828692223,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22828692223%22%20SIGNED_DATE%3A%5B2014/12/22%2C%5D %20MODIFICATION_NUMBER%3A%220%22,22-Dec-14
45256000,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22045256000%22%20SIGNED_DATE%3A%5B2015/04/29%2C%5D %20MODIFICATION_NUMBER%3A%220%22,29-Apr-15
140696670,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22140696670%22%20SIGNED_DATE%3A%5B2014/10/21%2C%5D %20MODIFICATION_NUMBER%3A%220%22,21-Oct-14
144371411,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22144371411%22%20SIGNED_DATE%3A%5B2015/04/22%2C%5D %20MODIFICATION_NUMBER%3A%220%22,22-Apr-15
76287226,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22076287226%22%20SIGNED_DATE%3A%5B2015/02/18%2C%5D %20MODIFICATION_NUMBER%3A%220%22,18-Feb-15
78575345,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22078575345%22%20SIGNED_DATE%3A%5B2015/04/16%2C%5D %20MODIFICATION_NUMBER%3A%220%22,16-Apr-15
78475223,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22078475223%22%20SIGNED_DATE%3A%5B2015/03/26%2C%5D %20MODIFICATION_NUMBER%3A%220%22,26-Mar-15
117502450,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22117502450%22%20SIGNED_DATE%3A%5B2015/04/24%2C%5D %20MODIFICATION_NUMBER%3A%220%22,24-Apr-15
247662369,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22247662369%22%20SIGNED_DATE%3A%5B2015/03/12%2C%5D %20MODIFICATION_NUMBER%3A%220%22,12-Mar-15
171968852,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22171968852%22%20SIGNED_DATE%3A%5B2014/12/17%2C%5D %20MODIFICATION_NUMBER%3A%220%22,17-Dec-14
146660969,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22146660969%22%20SIGNED_DATE%3A%5B2015/04/13%2C%5D %20MODIFICATION_NUMBER%3A%220%22,13-Apr-15
609611608,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22609611608%22%20SIGNED_DATE%3A%5B2015/03/30%2C%5D %20MODIFICATION_NUMBER%3A%220%22,30-Mar-15
111166182,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22111166182%22%20SIGNED_DATE%3A%5B2015/04/16%2C%5D %20MODIFICATION_NUMBER%3A%220%22,16-Apr-15
106819717,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22106819717%22%20SIGNED_DATE%3A%5B2014/12/01%2C%5D %20MODIFICATION_NUMBER%3A%220%22,1-Dec-14
45704400,https://www.fpds.gov/dbsight/FEEDS/ATOM?s=FPDS&FEEDNAME=PUBLIC&templateName=1.4.4&q=VENDOR_DUNS_NUMBER%3A%22045704400%22%20SIGNED_DATE%3A%5B2015/04/15%2C%5D %20MODIFICATION_NUMBER%3A%220%22,15-Apr-15
